"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.58","0.51","","","0.52","","","0.45","","0.56","","0.52","","0.88","","1.04","","1.215","","1.285","","1.47","","1.375","","0.95","","","","","",
"Afganistán","AFG","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","","0.53","","0.68","","1.05","","1.15","","1.28","","1.07","","0.7","","","","","",
"","AFW","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86","0.85","","","0.795","","","0.68","","0.64","","0.685","","0.885","","1.03","","1.085","","1.19","","1.17","","1.245","","0.95","","","","","",
"Angola","AGO","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.38","","0.3","","0.19","","0.39","","0.5","","0.53","","0.65","","0.63","","0.76","","0.97","","","","","",
"Albania","ALB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.86","","0.57","","0.8","","1.23","","1.44","","1.36","","1.46","","1.81","","1.76","","1.36","","","","","",
"Andorra","AND","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.24","","1.49","","1.67","","1.51","","","","","","","",
"El mundo árabe","ARB","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","0.28","","0.295","","0.32","","0.37","","0.49","","0.55","","0.58","","0.825","","0.67","","","","","",
"Emiratos Árabes Unidos","ARE","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23","","0.25","","0.29","","0.28","","0.37","","0.45","","0.47","","0.47","","0.47","","0.49","","","","","",
"Argentina","ARG","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.79","","","0.6","","","0.94","","1.07","","0.63","","0.63","","0.62","","0.78","","0.96","","1.46","","1.52","","1.1","","","","","",
"Armenia","ARM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.49","","0.55","","0.42","","0.68","","0.96","","1.08","","1.08","","1.25","","1.3","","0.77","","","","","",
"Samoa Americana","ASM","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.56","","","","0.68","","0.97","","1.11","","0.99","","","","","","","","","","","",
"Australia","AUS","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46","","0.57","","0.5","","0.85","","0.93","","0.74","","1.27","","1.39","","1.23","","0.93","","","","","",
"Austria","AUT","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15","","","1.04","","0.82","","0.84","","1.32","","1.32","","1.37","","1.63","","1.81","","1.6","","1.2","","","","","",
"Azerbaiyán","AZE","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.46","","0.39","","0.37","","0.41","","0.46","","0.74","","0.75","","0.76","","1.21","","0.56","","","","","",
"Burundi","BDI","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.63","0.59","","","0.52","","","0.72","","1.01","","0.58","","1.04","","1.2","","1.39","","1.43","","1.47","","1.53","","1.21","","","","","",
"Bélgica","BEL","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.18","","","1.12","","0.96","","1.04","","1.5","","1.63","","1.5","","1.87","","2.09","","1.9","","1.43","","","","","",
"Benin","BEN","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.63","0.62","","","0.36","","","0.39","","0.48","","0.54","","0.77","","0.81","","1.03","","1.04","","1.24","","1.03","","0.72","","","","","",
"Burkina Faso","BFA","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.03","1","","","0.81","","","0.68","","0.68","","0.83","","1.18","","1.15","","1.38","","1.44","","1.43","","1.4","","0.98","","","","","",
"Bangladesh","BGD","Precio de la gasolina para el usuario (US$ por litro)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36","","","0.47","","0.46","","0.52","","0.59","","0.79","","1.17","","1.09","","1.15","","1.3","","1.12","","","","","",
